,Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records
0,https://biodiversity.org.au/afd/taxa/5291343e-fdeb-4a65-8ba5-928f5b96acf5,Gymnorhina tibicen,"(Latham, 1801)",species,Animalia,Chordata,Aves,Passeriformes,Artamidae,Gymnorhina,Australian Magpie,330
1,https://biodiversity.org.au/afd/taxa/97a59c84-af21-4cdc-bac7-a97c5201db42,Rhipidura (Rhipidura) albiscapa,"Gould, 1840",species,Animalia,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura,Grey Fantail,250
2,https://biodiversity.org.au/afd/taxa/760401df-b10a-407e-acea-4f2db3f11b4b,Malurus (Malurus) cyaneus,"(Ellis, 1782)",species,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,Superb Fairy-wren,247
3,https://biodiversity.org.au/afd/taxa/2c33a1fd-34f4-48ec-9ae6-38b51f2aa7ea,Cacatua (Cacatua) galerita,"(Latham, 1790)",species,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,Sulphur-crested Cockatoo,237
4,https://biodiversity.org.au/afd/taxa/5e0f496f-5045-41ff-8c03-f3c8fd4f8ccd,Platycercus (Platycercus) elegans,"(Gmelin, 1788)",species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus,Crimson Rosella,201
5,https://biodiversity.org.au/afd/taxa/8cecdfa3-4c71-467e-b8fb-312cc347dfa0,Cormobates leucophaea,"(Latham, 1801)",species,Animalia,Chordata,Aves,Passeriformes,Climacteridae,Cormobates,White-throated Treecreeper,180
6,https://biodiversity.org.au/afd/taxa/9b4ad548-8bb3-486a-ab0a-905506c463ea,Eolophus roseicapilla,"(Vieillot, 1817)",species,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Eolophus,Galah,180
7,https://biodiversity.org.au/afd/taxa/378bdcd1-f52a-4907-9f71-0541b05437da,Pachycephala (Alisterornis) rufiventris,"(Latham, 1801)",species,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Pachycephala,Rufous Whistler,149
8,https://biodiversity.org.au/afd/taxa/7822040e-291b-4e30-8708-d63f39b0409f,Philemon (Tropidorhynchus) corniculatus,"(Latham, 1790)",species,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Philemon,Noisy Friarbird,148
9,https://biodiversity.org.au/afd/taxa/ce17b284-d607-496a-992f-f3129bfd3997,Grallina cyanoleuca,"(Latham, 1801)",species,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Grallina,Magpie-lark,141
